npz_path,class_id,x_center,y_center,width,height
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00052_c00054.npz,1,0.84765625,0.296875,0.1328125,0.1796875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.876953125,0.20703125,0.12890625,0.4140625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.69140625,0.73046875,0.546875,0.5390625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.986328125,0.673828125,0.02734375,0.04296875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.873046875,0.78125,0.25390625,0.1484375
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.94921875,0.822265625,0.1015625,0.03515625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.05078125,0.921875,0.1015625,0.078125
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.203125,0.94140625,0.2265625,0.109375
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.396484375,0.947265625,0.05859375,0.04296875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.986328125,0.96875,0.02734375,0.0625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.876953125,0.98046875,0.05859375,0.0390625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00057_c00070.npz,1,0.66796875,0.9921875,0.03125,0.015625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00021_c00065.npz,1,0.3125,0.619140625,0.0625,0.05078125
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00021_c00065.npz,1,0.0703125,0.630859375,0.140625,0.04296875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00050_c00000.npz,2,0.474609375,0.330078125,0.05859375,0.08203125
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00041_c00069.npz,1,0.697265625,0.994140625,0.01953125,0.01171875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00039_c00079.npz,0,0.453125,0.44921875,0.1484375,0.1171875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00039_c00079.npz,0,0.619140625,0.455078125,0.04296875,0.04296875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00039_c00079.npz,0,0.681640625,0.509765625,0.05078125,0.05859375
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00039_c00079.npz,0,0.681640625,0.611328125,0.04296875,0.04296875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00039_c00079.npz,0,0.541015625,0.630859375,0.04296875,0.04296875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00039_c00079.npz,0,0.435546875,0.744140625,0.04296875,0.04296875
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00022_c00082.npz,1,0.828125,0.068359375,0.0625,0.08203125
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00022_c00082.npz,1,0.6953125,0.302734375,0.3046875,0.36328125
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00022_c00082.npz,1,0.15625,0.81640625,0.125,0.15625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00022_c00082.npz,1,0.43359375,0.939453125,0.078125,0.12109375
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00027_c00075.npz,1,0.6328125,0.150390625,0.0703125,0.12890625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00027_c00075.npz,1,0.791015625,0.3046875,0.09765625,0.140625
/home/alireza/LCP/MAPD-B/MOON/2026/code/Computational-Physics-2026/data/MR/data/processed/tiles/marius_hills/marius_hills_r00027_c00075.npz,1,0.0390625,0.92578125,0.078125,0.1484375
